[331. 184.],[342. 283.],[610. 292.],[606. 196.]
[333. 184.],[344. 283.],[613. 291.],[608. 196.]
[333. 184.],[344. 282.],[614. 291.],[609. 196.]
[334. 185.],[345. 282.],[615. 291.],[608. 195.]
[335. 185.],[347. 283.],[617. 291.],[612. 196.]
[335. 185.],[347. 283.],[617. 291.],[611. 196.]
[337. 184.],[346. 282.],[617. 292.],[613. 196.]
[337. 185.],[349. 283.],[619. 291.],[614. 196.]
[336. 185.],[347. 282.],[619. 291.],[613. 195.]
[335. 184.],[346. 281.],[619. 290.],[614. 195.]
[333. 182.],[342. 280.],[617. 290.],[612. 194.]
[329. 181.],[342. 280.],[615. 289.],[609. 193.]
[326. 181.],[337. 279.],[612. 288.],[606. 192.]
[325. 222.],[326. 221.],[327. 222.],[326. 223.]
[320. 179.],[329. 279.],[606. 287.],[599. 191.]
[316. 180.],[326. 279.],[602. 288.],[596. 192.]
[316. 216.],[317. 215.],[318. 216.],[317. 217.]
[316. 216.],[317. 215.],[318. 216.],[317. 217.]
[314. 181.],[326. 279.],[600. 288.],[594. 191.]
[315. 179.],[327. 279.],[601. 287.],[595. 191.]
[318. 178.],[329. 279.],[603. 286.],[595. 190.]
[320. 178.],[333. 278.],[606. 287.],[601. 190.]
[324. 176.],[336. 277.],[610. 284.],[604. 189.]
[325. 176.],[338. 277.],[612. 284.],[606. 189.]
[326. 176.],[338. 276.],[613. 285.],[606. 188.]
[329. 212.],[330. 211.],[331. 212.],[330. 213.]
[329. 175.],[342. 277.],[615. 285.],[610. 189.]
[333. 218.],[334. 217.],[335. 218.],[334. 219.]
[333. 174.],[343. 275.],[619. 285.],[614. 188.]
[336. 210.],[337. 209.],[338. 210.],[337. 211.]
[337. 172.],[347. 273.],[624. 284.],[619. 185.]
[339. 169.],[349. 272.],[626. 283.],[621. 184.]
[340. 167.],[349. 270.],[628. 281.],[623. 182.]
[340. 167.],[351. 269.],[630. 280.],[626. 181.]
[342. 165.],[353. 268.],[632. 277.],[626. 179.]
[345. 162.],[355. 265.],[635. 275.],[630. 177.]
[347. 159.],[358. 263.],[638. 273.],[633. 174.]
[349. 155.],[358. 259.],[641. 272.],[637. 171.]
[349. 153.],[362. 258.],[644. 269.],[639. 168.]
[349. 152.],[360. 256.],[645. 268.],[639. 166.]
[351. 150.],[360. 255.],[646. 268.],[642. 166.]
[354. 190.],[355. 191.],[354. 194.],[353. 193.]
[353. 153.],[364. 256.],[649. 268.],[646. 166.]
[355. 152.],[366. 257.],[651. 268.],[647. 166.]
[355. 154.],[365. 259.],[652. 268.],[648. 169.]
[354. 156.],[364. 260.],[650. 272.],[646. 170.]
[354. 159.],[364. 263.],[650. 273.],[645. 172.]
[355. 161.],[364. 265.],[649. 276.],[644. 175.]
[357. 163.],[367. 268.],[650. 278.],[646. 177.]
[358. 165.],[369. 270.],[652. 280.],[648. 179.]
[358. 167.],[369. 272.],[652. 281.],[648. 181.]
[356. 169.],[366. 273.],[650. 283.],[645. 182.]
[355. 170.],[365. 274.],[650. 283.],[645. 183.]
[354. 171.],[364. 274.],[649. 283.],[643. 183.]
[351. 171.],[362. 274.],[648. 283.],[642. 182.]
[346. 171.],[357. 273.],[644. 282.],[640. 182.]
